Year,State,FIPS,menthol,nonMenthol
2017,CT,9000,554686.5,1009050.5
2017,CT,9001,6704142,9914056.35
2017,CT,9003,8991203.5,11710915
2017,CT,9005,1780655,3983442.75
2017,CT,9007,1441150,2953669.9
2017,CT,9009,10031984.5,12287356.6
2017,CT,9011,3885990,5433572.1
2017,CT,9013,1118601.5,2306122.1
2017,CT,9015,1536297,2539630
2018,CT,9000,571250.5,959727.5
2018,CT,9001,5935890.6,8796381.5
2018,CT,9003,8152422.7,10430028.9
2018,CT,9005,1609904.5,3622805.5
2018,CT,9007,1339002.6,2684298
2018,CT,9009,9038397.6,11101861.5
2018,CT,9011,3536285.7,4923247
2018,CT,9013,997396.4,2074287
2018,CT,9015,1407385.9,2312467
2019,CT,9000,474615,843200.5
2019,CT,9001,5306015.5,7823073.5
2019,CT,9003,7484050,9429059
2019,CT,9005,1498132,3324439.5
2019,CT,9007,1214134,2445619
2019,CT,9009,8191433,10057112
2019,CT,9011,3238555,4448341.5
2019,CT,9013,900759.5,1885425.5
2019,CT,9015,1278473.5,2111225.5
2020,CT,9000,468267,830856.5
2020,CT,9001,5159768,7612148.5
2020,CT,9003,8239692.5,9224837.5
2020,CT,9005,1583496.5,3388956
2020,CT,9007,1196978,2351598.5
2020,CT,9009,8218783,9844732.5
2020,CT,9011,3131567.5,4159596.5
2020,CT,9013,1001225.5,1867371.5
2020,CT,9015,1712177.5,2166810.5
2021,CT,9000,500182,796320
2021,CT,9001,4954585,7210674.2
2021,CT,9003,8308164,8670624
2021,CT,9005,1528497,3296301
2021,CT,9007,1164599,2265505
2021,CT,9009,7896220.5,9310358
2021,CT,9011,3043581,4042545.5
2021,CT,9013,1002309,1792834
2021,CT,9015,1909983,2141049
2017,MA,25000,1404483.5,2932293
2017,MA,25001,2118365,5737801.9
2017,MA,25003,1350525,3355795.2
2017,MA,25005,8550239,12169295
2017,MA,25007,120430,507327.1
2017,MA,25009,3294711,7974209.2
2017,MA,25011,382293,952188.6
2017,MA,25013,6948006,7449722.6
2017,MA,25015,918462.5,2122540.1
2017,MA,25017,5761045,16551253.1
2017,MA,25019,89039.5,329369.5
2017,MA,25021,4085432,10743872.6
2017,MA,25023,4601023,10986743
2017,MA,25025,6585979.5,8619430.6
2017,MA,25027,6986593.5,13291516.46
2018,MA,25000,1357281,2848595
2018,MA,25001,2034176.6,5552558.5
2018,MA,25003,1284802.6,3165060
2018,MA,25005,8242140.6,11732008
2018,MA,25007,116580.5,468150.1
2018,MA,25009,3104324.1,7530807
2018,MA,25011,358600.1,905273.7
2018,MA,25013,6609715.7,6979311
2018,MA,25015,878287,1985751
2018,MA,25017,5359493.4,15195999
2018,MA,25019,84441.5,300741
2018,MA,25021,3841406.6,10131709.5
2018,MA,25023,4395831.8,10474700.5
2018,MA,25025,6273824.2,7942721
2018,MA,25027,6707907.1,12734909.5
2019,MA,25000,1220780.5,2582734
2019,MA,25001,1766717,5133313
2019,MA,25003,1215355,2971745.5
2019,MA,25005,7923743.5,11063636
2019,MA,25007,113462,430978
